Race,Driver,LapNumber,Stint,Compound,TyreLife,Normalized_TyreLife,LapTime_Sec,Position,GapToAhead_Sec,GapToBehind_Sec,TrackTemp_C,AirTemp_C,IsPitInLap,PitNextLap
Saudi Arabian Grand Prix,HAM,3,1,SOFT,3,0.0857,89.955,8,1.52,3.515,37.0,27.7,0,0
Saudi Arabian Grand Prix,HAM,4,1,SOFT,4,0.1143,89.908,1,4.338,4.678,44.9,28.0,0,0
Saudi Arabian Grand Prix,HAM,5,1,SOFT,5,0.1429,90.071,15,2.596,3.98,43.7,21.9,0,0
Saudi Arabian Grand Prix,HAM,6,1,SOFT,6,0.1714,90.519,12,2.209,4.107,35.9,27.5,0,0
Saudi Arabian Grand Prix,HAM,7,1,SOFT,7,0.2,90.506,8,4.681,2.243,31.0,20.2,0,0
Saudi Arabian Grand Prix,HAM,8,1,SOFT,8,0.2286,90.394,19,2.861,3.989,33.5,23.5,0,0
Saudi Arabian Grand Prix,HAM,9,1,SOFT,9,0.2571,90.712,17,3.44,1.365,34.4,26.2,0,0
Saudi Arabian Grand Prix,HAM,10,1,SOFT,10,0.2857,90.714,5,4.482,3.826,34.2,22.8,0,0
Saudi Arabian Grand Prix,HAM,11,1,SOFT,11,0.3143,90.993,14,4.075,1.752,32.1,23.1,0,0
Saudi Arabian Grand Prix,HAM,12,1,SOFT,12,0.3429,91.085,1,0.9,4.963,38.1,29.8,0,0
Saudi Arabian Grand Prix,HAM,13,1,SOFT,13,0.3714,90.886,6,0.778,0.916,32.4,26.0,0,0
Saudi Arabian Grand Prix,HAM,14,1,SOFT,14,0.4,91.161,14,2.52,4.61,32.8,20.1,0,0
Saudi Arabian Grand Prix,HAM,15,1,SOFT,15,0.4286,90.737,19,4.57,4.178,41.4,20.6,0,1
Saudi Arabian Grand Prix,HAM,16,1,SOFT,16,0.4571,91.359,15,2.581,4.392,33.7,27.2,1,0
Saudi Arabian Grand Prix,HAM,17,2,HARD,1,0.0286,90.649,12,4.591,1.912,40.4,22.7,0,0
Saudi Arabian Grand Prix,HAM,18,2,HARD,2,0.0571,91.064,2,1.331,2.039,36.4,28.3,0,0
Saudi Arabian Grand Prix,HAM,19,2,HARD,3,0.0857,90.993,1,1.026,3.57,44.2,21.4,0,0
Saudi Arabian Grand Prix,HAM,20,2,HARD,4,0.1143,90.843,15,2.452,1.24,31.7,25.5,0,0
Saudi Arabian Grand Prix,HAM,21,2,HARD,5,0.1429,90.996,15,0.568,3.116,31.6,28.7,0,0
Saudi Arabian Grand Prix,HAM,22,2,HARD,6,0.1714,91.324,8,3.457,4.543,36.0,23.3,0,0
Saudi Arabian Grand Prix,HAM,23,2,HARD,7,0.2,91.195,13,0.84,2.127,31.4,25.9,0,0
Saudi Arabian Grand Prix,HAM,24,2,HARD,8,0.2286,91.329,5,0.803,3.177,41.1,20.3,0,0
Saudi Arabian Grand Prix,HAM,25,2,HARD,9,0.2571,91.491,12,4.429,4.053,41.2,25.6,0,0
Saudi Arabian Grand Prix,HAM,26,2,HARD,10,0.2857,91.985,9,0.643,4.019,33.6,21.4,0,0
Saudi Arabian Grand Prix,HAM,27,2,HARD,11,0.3143,91.169,5,3.263,1.638,38.7,23.6,0,0
Saudi Arabian Grand Prix,HAM,28,2,HARD,12,0.3429,91.657,15,4.193,2.648,35.3,23.6,0,0
Saudi Arabian Grand Prix,HAM,29,2,HARD,13,0.3714,91.559,13,0.881,2.6,37.2,28.4,0,0
Saudi Arabian Grand Prix,HAM,30,2,HARD,14,0.4,92.045,14,1.322,1.128,38.6,27.6,0,0
Saudi Arabian Grand Prix,HAM,31,2,HARD,15,0.4286,91.687,3,0.575,3.556,31.1,24.2,0,0
Saudi Arabian Grand Prix,HAM,32,2,HARD,16,0.4571,92.169,2,0.647,2.64,36.1,21.6,0,0
Saudi Arabian Grand Prix,HAM,33,2,HARD,17,0.4857,92.065,17,4.676,4.302,33.4,22.4,0,0
Saudi Arabian Grand Prix,HAM,34,2,HARD,18,0.5143,92.119,15,3.258,4.723,39.9,20.8,0,0
Saudi Arabian Grand Prix,HAM,35,2,HARD,19,0.5429,92.364,16,0.711,1.938,36.6,29.0,0,0
Saudi Arabian Grand Prix,HAM,36,2,HARD,20,0.5714,91.753,18,0.976,2.097,36.2,26.8,0,0
Saudi Arabian Grand Prix,HAM,37,2,HARD,21,0.6,92.206,15,1.796,3.003,30.4,29.1,0,1
Saudi Arabian Grand Prix,HAM,38,2,HARD,22,0.6286,92.476,4,2.386,1.257,43.2,25.6,1,0
Saudi Arabian Grand Prix,HAM,39,3,MEDIUM,1,0.0286,90.349,11,1.681,1.909,42.5,20.5,0,0
Saudi Arabian Grand Prix,HAM,40,3,MEDIUM,2,0.0571,90.031,12,4.624,3.359,39.4,24.0,0,0
Saudi Arabian Grand Prix,HAM,41,3,MEDIUM,3,0.0857,90.556,5,4.014,2.292,36.7,28.9,0,0
Saudi Arabian Grand Prix,HAM,42,3,MEDIUM,4,0.1143,90.993,5,0.536,4.744,33.6,21.1,0,0
Saudi Arabian Grand Prix,HAM,43,3,MEDIUM,5,0.1429,90.666,10,4.299,2.678,37.7,23.1,0,0
Saudi Arabian Grand Prix,HAM,44,3,MEDIUM,6,0.1714,91.14,6,1.963,0.677,34.1,20.1,0,0
Saudi Arabian Grand Prix,HAM,45,3,MEDIUM,7,0.2,91.202,5,4.357,4.192,36.6,21.3,0,0
Saudi Arabian Grand Prix,HAM,46,3,MEDIUM,8,0.2286,90.732,16,3.287,2.545,41.7,30.0,0,0
Saudi Arabian Grand Prix,HAM,47,3,MEDIUM,9,0.2571,90.941,18,1.042,4.723,32.7,26.2,0,0
Saudi Arabian Grand Prix,HAM,48,3,MEDIUM,10,0.2857,90.724,15,2.389,2.736,43.8,27.8,0,0
Saudi Arabian Grand Prix,HAM,49,3,MEDIUM,11,0.3143,91.192,15,3.908,4.541,31.3,23.9,0,0
Saudi Arabian Grand Prix,HAM,50,3,MEDIUM,12,0.3429,90.961,9,0.736,1.218,35.0,20.8,0,0
Saudi Arabian Grand Prix,HAM,51,3,MEDIUM,13,0.3714,91.464,13,1.871,1.69,34.2,22.8,0,0
Saudi Arabian Grand Prix,LEC,1,1,SOFT,1,0.0286,88.11,17,0.544,4.361,41.0,29.5,0,0
Saudi Arabian Grand Prix,LEC,2,1,SOFT,2,0.0571,88.145,15,0.681,3.148,36.0,29.7,0,0
Saudi Arabian Grand Prix,LEC,3,1,SOFT,3,0.0857,88.659,2,0.778,2.909,38.5,27.5,0,0
Saudi Arabian Grand Prix,LEC,4,1,SOFT,4,0.1143,88.487,8,0.919,2.347,32.5,22.2,0,0
Saudi Arabian Grand Prix,LEC,5,1,SOFT,5,0.1429,88.281,17,1.517,4.178,44.0,21.0,0,0
Saudi Arabian Grand Prix,LEC,6,1,SOFT,6,0.1714,88.141,12,1.793,1.759,35.0,26.6,0,0
Saudi Arabian Grand Prix,LEC,7,1,SOFT,7,0.2,88.565,5,3.774,2.68,40.4,25.5,0,0
Saudi Arabian Grand Prix,LEC,8,1,SOFT,8,0.2286,88.635,5,3.921,1.193,32.2,22.7,0,0
Saudi Arabian Grand Prix,LEC,9,1,SOFT,9,0.2571,88.719,4,2.335,1.065,32.6,28.3,0,0
Saudi Arabian Grand Prix,LEC,10,1,SOFT,10,0.2857,88.514,2,1.37,3.387,33.9,28.9,0,0
Saudi Arabian Grand Prix,LEC,11,1,SOFT,11,0.3143,89.269,15,1.838,1.535,36.2,22.4,0,0
Saudi Arabian Grand Prix,LEC,12,1,SOFT,12,0.3429,89.361,9,2.955,0.975,30.7,26.6,0,0
Saudi Arabian Grand Prix,LEC,13,1,SOFT,13,0.3714,89.326,11,2.122,3.521,34.1,20.8,0,0
Saudi Arabian Grand Prix,LEC,14,1,SOFT,14,0.4,89.429,19,4.933,3.956,36.5,24.5,0,0
Saudi Arabian Grand Prix,LEC,15,1,SOFT,15,0.4286,89.636,2,1.986,3.039,42.8,22.0,0,0
Saudi Arabian Grand Prix,LEC,16,1,SOFT,16,0.4571,89.484,1,1.081,0.948,39.0,25.2,0,0
Saudi Arabian Grand Prix,LEC,17,1,SOFT,17,0.4857,89.624,12,0.681,4.505,44.9,22.9,0,0
Saudi Arabian Grand Prix,LEC,18,1,SOFT,18,0.5143,89.763,2,3.211,2.802,30.9,22.9,0,0
Saudi Arabian Grand Prix,LEC,19,1,SOFT,19,0.5429,89.497,18,3.532,4.311,34.9,26.8,0,0
Saudi Arabian Grand Prix,LEC,20,1,SOFT,20,0.5714,90.174,16,0.524,0.506,35.7,21.4,0,0
Saudi Arabian Grand Prix,LEC,21,1,SOFT,21,0.6,90.218,10,3.616,1.55,39.4,27.5,0,0
Saudi Arabian Grand Prix,LEC,22,1,SOFT,22,0.6286,89.989,18,0.702,3.804,35.1,24.8,0,1
Saudi Arabian Grand Prix,LEC,23,1,SOFT,23,0.6571,89.751,2,2.351,1.069,30.4,26.2,1,0
Saudi Arabian Grand Prix,LEC,24,2,HARD,1,0.0286,89.146,7,3.341,2.419,38.2,21.7,0,0
Saudi Arabian Grand Prix,LEC,25,2,HARD,2,0.0571,89.215,2,3.487,4.844,30.8,28.9,0,0
Saudi Arabian Grand Prix,LEC,26,2,HARD,3,0.0857,89.603,10,2.96,4.279,31.9,28.0,0,0
Saudi Arabian Grand Prix,LEC,27,2,HARD,4,0.1143,89.765,12,1.178,4.332,44.9,27.3,0,0
Saudi Arabian Grand Prix,LEC,28,2,HARD,5,0.1429,88.96,13,3.558,4.757,34.4,20.0,0,0
Saudi Arabian Grand Prix,LEC,29,2,HARD,6,0.1714,89.656,16,1.481,3.478,39.5,25.9,0,0
Saudi Arabian Grand Prix,LEC,30,2,HARD,7,0.2,89.809,14,1.073,1.068,42.2,29.2,0,0
Saudi Arabian Grand Prix,LEC,31,2,HARD,8,0.2286,89.286,15,2.745,1.932,43.4,26.4,0,0
Saudi Arabian Grand Prix,LEC,32,2,HARD,9,0.2571,89.425,11,0.5,3.705,35.3,22.5,0,0
Saudi Arabian Grand Prix,LEC,33,2,HARD,10,0.2857,89.492,8,4.525,4.206,43.5,25.5,0,0
Saudi Arabian Grand Prix,LEC,34,2,HARD,11,0.3143,89.727,2,3.232,2.249,33.6,20.9,0,0
Saudi Arabian Grand Prix,LEC,35,2,HARD,12,0.3429,90.216,12,0.935,1.296,44.8,24.4,0,0
Saudi Arabian Grand Prix,LEC,36,2,HARD,13,0.3714,90.265,3,4.511,2.587,34.8,24.8,0,0
Saudi Arabian Grand Prix,LEC,37,2,HARD,14,0.4,90.1,1,2.312,3.526,40.2,23.2,0,0
Saudi Arabian Grand Prix,LEC,38,2,HARD,15,0.4286,90.242,3,3.5,1.038,38.6,22.6,0,0
Saudi Arabian Grand Prix,LEC,39,2,HARD,16,0.4571,90.003,7,4.428,2.75,41.0,26.2,0,0
Saudi Arabian Grand Prix,LEC,40,2,HARD,17,0.4857,90.203,13,4.325,1.383,31.9,29.6,0,0
Saudi Arabian Grand Prix,LEC,41,2,HARD,18,0.5143,89.963,16,1.77,1.841,34.2,27.7,0,0
Saudi Arabian Grand Prix,LEC,42,2,HARD,19,0.5429,90.732,19,3.135,2.95,33.5,26.4,0,0
Saudi Arabian Grand Prix,LEC,43,2,HARD,20,0.5714,90.674,11,0.687,2.742,40.3,22.5,0,0
Saudi Arabian Grand Prix,LEC,44,2,HARD,21,0.6,90.866,1,4.897,2.951,32.0,28.9,0,0
Saudi Arabian Grand Prix,LEC,45,2,HARD,22,0.6286,90.331,7,3.384,2.598,32.8,27.0,0,0
Saudi Arabian Grand Prix,LEC,46,2,HARD,23,0.6571,90.291,5,0.594,1.921,30.9,27.7,0,0
Saudi Arabian Grand Prix,LEC,47,2,HARD,24,0.6857,91.08,4,2.282,3.903,36.8,24.1,0,0
Saudi Arabian Grand Prix,LEC,48,2,HARD,25,0.7143,91.012,15,2.055,4.171,37.0,20.8,0,0
Saudi Arabian Grand Prix,LEC,49,2,HARD,26,0.7429,90.793,14,1.229,3.461,45.0,24.5,0,0
Saudi Arabian Grand Prix,LEC,50,2,HARD,27,0.7714,90.829,15,2.534,4.936,30.0,26.1,0,0
Saudi Arabian Grand Prix,NOR,1,1,MEDIUM,1,0.0286,88.304,10,3.787,1.109,33.0,21.8,0,0
Saudi Arabian Grand Prix,NOR,2,1,MEDIUM,2,0.0571,88.851,18,2.307,2.021,31.9,23.9,0,0
Saudi Arabian Grand Prix,NOR,3,1,MEDIUM,3,0.0857,88.458,2,0.671,3.29,40.5,22.1,0,0
Saudi Arabian Grand Prix,NOR,4,1,MEDIUM,4,0.1143,88.935,3,1.024,1.644,34.4,25.3,0,0
Saudi Arabian Grand Prix,NOR,5,1,MEDIUM,5,0.1429,88.944,11,3.046,4.586,35.9,23.0,0,0
Saudi Arabian Grand Prix,NOR,6,1,MEDIUM,6,0.1714,89.107,4,3.265,2.856,34.8,24.7,0,0
Saudi Arabian Grand Prix,NOR,7,1,MEDIUM,7,0.2,89.187,9,4.228,0.861,37.2,26.3,0,0
Saudi Arabian Grand Prix,NOR,8,1,MEDIUM,8,0.2286,89.409,7,3.553,1.954,44.8,23.3,0,0
Saudi Arabian Grand Prix,NOR,9,1,MEDIUM,9,0.2571,89.508,6,3.749,0.681,36.1,25.2,0,0
Saudi Arabian Grand Prix,NOR,10,1,MEDIUM,10,0.2857,89.616,10,2.666,4.144,44.3,20.2,0,0
Saudi Arabian Grand Prix,NOR,11,1,MEDIUM,11,0.3143,89.557,9,4.432,0.558,33.4,25.7,0,0
Saudi Arabian Grand Prix,NOR,12,1,MEDIUM,12,0.3429,89.903,7,2.214,0.746,39.0,29.0,0,0
Saudi Arabian Grand Prix,NOR,13,1,MEDIUM,13,0.3714,89.286,12,3.885,4.575,42.5,22.0,0,0
Saudi Arabian Grand Prix,NOR,14,1,MEDIUM,14,0.4,89.422,4,2.089,4.099,38.3,28.3,0,0
Saudi Arabian Grand Prix,NOR,15,1,MEDIUM,15,0.4286,89.779,6,2.598,2.504,30.2,22.5,0,0
Saudi Arabian Grand Prix,NOR,16,1,MEDIUM,16,0.4571,89.898,19,3.315,3.072,32.8,20.6,0,0
Saudi Arabian Grand Prix,NOR,17,1,MEDIUM,17,0.4857,90.036,5,3.937,2.855,33.4,26.7,0,0
Saudi Arabian Grand Prix,NOR,18,1,MEDIUM,18,0.5143,90.058,15,1.143,3.84,33.7,26.0,0,0
Saudi Arabian Grand Prix,NOR,19,1,MEDIUM,19,0.5429,89.965,12,2.29,2.803,37.2,23.8,0,0
Saudi Arabian Grand Prix,NOR,20,1,MEDIUM,20,0.5714,90.196,4,0.533,0.616,38.3,25.2,0,1
Saudi Arabian Grand Prix,NOR,21,1,MEDIUM,21,0.6,90.373,3,4.451,3.01,44.4,20.5,1,0
Saudi Arabian Grand Prix,NOR,22,2,HARD,1,0.0286,89.17,5,2.53,1.987,38.8,24.5,0,0
Saudi Arabian Grand Prix,NOR,23,2,HARD,2,0.0571,88.872,17,0.847,1.264,31.9,21.2,0,0
Saudi Arabian Grand Prix,NOR,24,2,HARD,3,0.0857,88.876,11,3.608,3.78,30.7,29.3,0,0
Saudi Arabian Grand Prix,NOR,25,2,HARD,4,0.1143,89.396,11,2.996,0.845,30.1,26.7,0,0
Saudi Arabian Grand Prix,NOR,26,2,HARD,5,0.1429,89.167,15,2.362,3.438,38.7,20.2,0,0
Saudi Arabian Grand Prix,NOR,27,2,HARD,6,0.1714,89.968,2,0.686,4.855,38.2,29.6,0,0
Saudi Arabian Grand Prix,NOR,28,2,HARD,7,0.2,89.599,5,0.936,1.306,42.0,26.8,0,0
Saudi Arabian Grand Prix,NOR,29,2,HARD,8,0.2286,89.431,13,2.638,4.651,31.1,22.8,0,0
Saudi Arabian Grand Prix,NOR,30,2,HARD,9,0.2571,90.061,3,1.962,3.593,44.4,27.3,0,0
Saudi Arabian Grand Prix,NOR,31,2,HARD,10,0.2857,89.689,9,3.338,3.829,39.2,20.2,0,0
Saudi Arabian Grand Prix,NOR,32,2,HARD,11,0.3143,90.058,1,4.247,4.119,43.0,20.6,0,0
Saudi Arabian Grand Prix,NOR,33,2,HARD,12,0.3429,89.875,3,1.13,2.371,38.2,24.0,0,0
Saudi Arabian Grand Prix,NOR,34,2,HARD,13,0.3714,90.125,16,3.348,3.96,44.9,20.1,0,0
Saudi Arabian Grand Prix,NOR,35,2,HARD,14,0.4,90.167,8,1.074,2.341,35.3,23.0,0,0
Saudi Arabian Grand Prix,NOR,36,2,HARD,15,0.4286,90.476,13,3.172,3.09,32.4,24.7,0,0
Saudi Arabian Grand Prix,NOR,37,2,HARD,16,0.4571,90.59,13,1.511,0.811,42.4,22.5,0,0
Saudi Arabian Grand Prix,NOR,38,2,HARD,17,0.4857,90.257,6,1.988,3.851,36.2,22.0,0,0
Saudi Arabian Grand Prix,NOR,39,2,HARD,18,0.5143,90.477,8,3.245,2.697,32.0,22.6,0,0
Saudi Arabian Grand Prix,NOR,40,2,HARD,19,0.5429,91.018,9,1.322,1.936,36.2,29.1,0,0
Saudi Arabian Grand Prix,NOR,41,2,HARD,20,0.5714,90.277,6,0.911,1.934,31.6,21.3,0,0
Saudi Arabian Grand Prix,NOR,42,2,HARD,21,0.6,90.558,19,3.316,2.977,36.1,25.2,0,0
Saudi Arabian Grand Prix,NOR,43,2,HARD,22,0.6286,90.834,1,1.383,0.602,42.9,25.8,0,0
Saudi Arabian Grand Prix,NOR,44,2,HARD,23,0.6571,90.942,19,4.138,3.252,34.4,22.6,0,0
Saudi Arabian Grand Prix,NOR,45,2,HARD,24,0.6857,91.192,10,1.314,1.71,33.0,22.5,0,0
Saudi Arabian Grand Prix,NOR,46,2,HARD,25,0.7143,91.176,6,3.153,0.803,42.5,21.8,0,0
Saudi Arabian Grand Prix,NOR,47,2,HARD,26,0.7429,90.667,10,3.977,3.717,38.7,20.1,0,0
Saudi Arabian Grand Prix,NOR,48,2,HARD,27,0.7714,91.514,4,3.422,3.51,42.0,29.3,0,0
Saudi Arabian Grand Prix,NOR,49,2,HARD,28,0.8,90.876,16,1.998,3.008,40.6,26.6,0,0
Saudi Arabian Grand Prix,NOR,50,2,HARD,29,0.8286,91.41,13,0.585,3.812,33.1,21.3,0,0
Saudi Arabian Grand Prix,NOR,51,2,HARD,30,0.8571,91.481,3,0.721,1.54,43.5,22.6,0,0
Saudi Arabian Grand Prix,NOR,52,2,HARD,31,0.8857,91.407,13,1.443,2.373,35.3,29.1,0,0
Saudi Arabian Grand Prix,NOR,53,2,HARD,32,0.9143,91.514,9,3.92,1.907,36.2,22.1,0,0
Saudi Arabian Grand Prix,NOR,54,2,HARD,33,0.9429,91.694,14,2.183,4.488,32.3,21.5,0,0
Saudi Arabian Grand Prix,SAI,1,1,SOFT,1,0.0286,90.795,13,2.427,3.344,40.9,23.7,0,0
Saudi Arabian Grand Prix,SAI,2,1,SOFT,2,0.0571,90.753,5,1.545,2.324,34.0,22.0,0,0
Saudi Arabian Grand Prix,SAI,3,1,SOFT,3,0.0857,90.814,16,4.154,4.213,41.9,23.2,0,0
Saudi Arabian Grand Prix,SAI,4,1,SOFT,4,0.1143,90.869,19,4.803,2.195,35.1,20.6,0,0
Saudi Arabian Grand Prix,SAI,5,1,SOFT,5,0.1429,91.189,15,1.703,4.156,31.2,26.0,0,0
Saudi Arabian Grand Prix,SAI,6,1,SOFT,6,0.1714,91.897,13,4.364,4.358,41.5,21.5,0,0
Saudi Arabian Grand Prix,SAI,7,1,SOFT,7,0.2,91.019,18,4.753,3.571,35.0,25.0,0,0
Saudi Arabian Grand Prix,SAI,8,1,SOFT,8,0.2286,91.367,19,1.877,0.787,32.7,20.1,0,0
Saudi Arabian Grand Prix,SAI,9,1,SOFT,9,0.2571,91.96,19,4.786,1.98,39.9,27.5,0,0
Saudi Arabian Grand Prix,SAI,10,1,SOFT,10,0.2857,91.691,9,4.94,3.19,31.2,26.5,0,0
Saudi Arabian Grand Prix,SAI,11,1,SOFT,11,0.3143,91.46,3,4.429,1.26,30.8,27.2,0,0
Saudi Arabian Grand Prix,SAI,12,1,SOFT,12,0.3429,91.945,12,1.375,4.192,40.1,26.4,0,0
Saudi Arabian Grand Prix,SAI,13,1,SOFT,13,0.3714,91.706,4,3.1,1.885,37.2,27.9,0,0
Saudi Arabian Grand Prix,SAI,14,1,SOFT,14,0.4,91.769,14,3.52,3.637,35.4,28.8,0,0
Saudi Arabian Grand Prix,SAI,15,1,SOFT,15,0.4286,92.054,18,2.335,4.489,30.7,29.6,0,0
Saudi Arabian Grand Prix,SAI,16,1,SOFT,16,0.4571,92.233,8,3.628,3.333,43.0,21.3,0,0
Saudi Arabian Grand Prix,SAI,17,1,SOFT,17,0.4857,92.41,8,2.269,1.127,30.2,25.4,0,1
Saudi Arabian Grand Prix,SAI,18,1,SOFT,18,0.5143,92.112,12,2.874,1.272,32.5,24.6,1,0
Saudi Arabian Grand Prix,SAI,19,2,HARD,1,0.0286,91.622,6,0.784,2.285,37.1,24.5,0,0
Saudi Arabian Grand Prix,SAI,20,2,HARD,2,0.0571,91.669,3,4.528,4.34,40.1,21.4,0,0
Saudi Arabian Grand Prix,SAI,21,2,HARD,3,0.0857,92.0,16,1.655,3.885,37.7,23.2,0,0
Saudi Arabian Grand Prix,SAI,22,2,HARD,4,0.1143,92.005,16,2.194,3.068,37.2,28.6,0,0
Saudi Arabian Grand Prix,SAI,23,2,HARD,5,0.1429,91.856,2,0.501,4.618,42.7,27.4,0,0
Saudi Arabian Grand Prix,SAI,24,2,HARD,6,0.1714,92.004,1,1.543,3.675,34.6,22.4,0,0
Saudi Arabian Grand Prix,SAI,25,2,HARD,7,0.2,91.975,11,3.848,3.7,33.5,27.5,0,0
Saudi Arabian Grand Prix,SAI,26,2,HARD,8,0.2286,92.318,17,2.263,4.111,35.1,24.4,0,0
Saudi Arabian Grand Prix,SAI,27,2,HARD,9,0.2571,92.003,7,4.168,4.449,41.6,26.7,0,0
Saudi Arabian Grand Prix,SAI,28,2,HARD,10,0.2857,92.296,4,4.95,2.675,44.8,27.5,0,0
Saudi Arabian Grand Prix,SAI,29,2,HARD,11,0.3143,92.242,1,4.489,2.294,42.9,22.7,0,0
Saudi Arabian Grand Prix,SAI,30,2,HARD,12,0.3429,92.732,15,2.316,1.556,42.3,23.4,0,0
Saudi Arabian Grand Prix,SAI,31,2,HARD,13,0.3714,92.554,6,4.964,4.781,32.1,25.4,0,0
Saudi Arabian Grand Prix,SAI,32,2,HARD,14,0.4,92.533,3,2.135,2.474,44.7,28.1,0,0
Saudi Arabian Grand Prix,SAI,33,2,HARD,15,0.4286,92.365,19,1.986,0.981,44.3,20.6,0,0
Saudi Arabian Grand Prix,SAI,34,2,HARD,16,0.4571,92.503,14,3.533,4.299,43.7,27.2,0,0
Saudi Arabian Grand Prix,SAI,35,2,HARD,17,0.4857,92.582,19,1.968,0.593,41.4,20.4,0,0
Saudi Arabian Grand Prix,SAI,36,2,HARD,18,0.5143,92.904,16,1.26,4.343,30.2,25.1,0,0
Saudi Arabian Grand Prix,SAI,37,2,HARD,19,0.5429,92.684,1,4.264,2.761,30.2,28.0,0,0
Saudi Arabian Grand Prix,SAI,38,2,HARD,20,0.5714,93.1,12,1.8,2.197,35.9,25.4,0,0
Saudi Arabian Grand Prix,SAI,39,2,HARD,21,0.6,93.228,7,3.165,3.654,32.9,24.5,0,0
Saudi Arabian Grand Prix,SAI,40,2,HARD,22,0.6286,93.366,9,3.405,1.201,38.2,20.9,0,0
Saudi Arabian Grand Prix,SAI,41,2,HARD,23,0.6571,93.582,18,1.492,1.337,44.3,22.1,0,0
Saudi Arabian Grand Prix,SAI,42,2,HARD,24,0.6857,93.632,5,1.135,3.936,31.6,29.8,0,0
Saudi Arabian Grand Prix,SAI,43,2,HARD,25,0.7143,93.752,16,3.989,2.042,39.4,21.9,0,0
Saudi Arabian Grand Prix,SAI,44,2,HARD,26,0.7429,93.862,7,4.191,3.028,40.1,29.3,0,0
Saudi Arabian Grand Prix,SAI,45,2,HARD,27,0.7714,93.767,10,1.168,3.184,42.2,23.8,0,0
Saudi Arabian Grand Prix,SAI,46,2,HARD,28,0.8,93.657,15,1.85,3.393,39.0,27.0,0,0
Saudi Arabian Grand Prix,SAI,47,2,HARD,29,0.8286,93.723,15,3.917,3.707,32.9,24.7,0,0
Saudi Arabian Grand Prix,SAI,48,2,HARD,30,0.8571,93.312,18,4.477,2.043,40.3,20.3,0,0
Saudi Arabian Grand Prix,SAI,49,2,HARD,31,0.8857,93.837,1,4.341,3.764,35.4,20.9,0,0
Saudi Arabian Grand Prix,SAI,50,2,HARD,32,0.9143,94.101,14,1.841,0.904,43.7,20.1,0,0
Saudi Arabian Grand Prix,SAI,51,2,HARD,33,0.9429,93.775,9,2.043,1.002,38.6,25.8,0,0
Saudi Arabian Grand Prix,SAI,52,2,HARD,34,0.9714,93.965,18,4.48,2.993,38.0,22.0,0,0
Saudi Arabian Grand Prix,SAI,53,2,HARD,35,1.0,94.487,16,1.857,3.197,33.0,28.9,0,0
Saudi Arabian Grand Prix,PER,1,1,SOFT,1,0.0286,91.269,9,1.913,2.746,33.2,28.7,0,0
Saudi Arabian Grand Prix,PER,2,1,SOFT,2,0.0571,91.172,14,4.827,2.502,37.3,23.5,0,0
Saudi Arabian Grand Prix,PER,3,1,SOFT,3,0.0857,91.227,1,2.439,1.905,40.9,28.0,0,0
Saudi Arabian Grand Prix,PER,4,1,SOFT,4,0.1143,91.484,3,4.936,4.061,39.0,23.4,0,0
Saudi Arabian Grand Prix,PER,5,1,SOFT,5,0.1429,91.21,1,0.731,2.308,40.1,24.5,0,0
Saudi Arabian Grand Prix,PER,6,1,SOFT,6,0.1714,91.445,7,2.106,3.356,32.8,27.5,0,0
Saudi Arabian Grand Prix,PER,7,1,SOFT,7,0.2,91.158,7,2.681,0.621,35.7,21.1,0,0
Saudi Arabian Grand Prix,PER,8,1,SOFT,8,0.2286,91.646,4,3.718,4.807,36.4,24.8,0,0
Saudi Arabian Grand Prix,PER,9,1,SOFT,9,0.2571,91.687,13,3.282,3.563,40.0,25.1,0,0
Saudi Arabian Grand Prix,PER,10,1,SOFT,10,0.2857,91.989,16,0.504,0.677,44.7,22.4,0,0
Saudi Arabian Grand Prix,PER,11,1,SOFT,11,0.3143,92.072,2,1.189,3.777,39.0,27.3,0,0
Saudi Arabian Grand Prix,PER,12,1,SOFT,12,0.3429,92.027,2,4.35,2.382,34.6,29.4,0,0
Saudi Arabian Grand Prix,PER,13,1,SOFT,13,0.3714,91.832,4,1.037,1.975,42.2,26.0,0,0
Saudi Arabian Grand Prix,PER,14,1,SOFT,14,0.4,92.986,19,1.363,3.0,38.8,22.1,0,0
Saudi Arabian Grand Prix,PER,15,1,SOFT,15,0.4286,92.495,15,2.437,1.245,40.6,25.4,0,0
Saudi Arabian Grand Prix,PER,16,1,SOFT,16,0.4571,91.958,15,1.132,1.789,37.8,27.5,0,0
Saudi Arabian Grand Prix,PER,17,1,SOFT,17,0.4857,92.439,10,3.501,2.459,44.3,27.2,0,0
Saudi Arabian Grand Prix,PER,18,1,SOFT,18,0.5143,92.601,12,1.368,0.917,38.0,28.2,0,1
Saudi Arabian Grand Prix,PER,19,1,SOFT,19,0.5429,92.504,19,2.67,0.758,32.6,27.1,1,0
Saudi Arabian Grand Prix,PER,20,2,HARD,1,0.0286,91.788,4,3.122,1.058,31.8,27.2,0,0
Saudi Arabian Grand Prix,PER,21,2,HARD,2,0.0571,91.775,11,3.305,3.211,37.3,25.3,0,0
Saudi Arabian Grand Prix,PER,22,2,HARD,3,0.0857,91.74,11,1.114,3.776,42.2,22.6,0,0
Saudi Arabian Grand Prix,PER,23,2,HARD,4,0.1143,91.933,14,4.352,3.875,42.1,21.4,0,0
